% Module: Plotter, ID: c0p1t10p1cfm0
% Device: DEV4674
% Time: 2026/07/29 13:26:44
% Demod 1 Sample R,  /dev4674/demods/0/sample.R
% Time (s), Amplitude (V)
-19.9999146667; 7.5357597399e-08
-19.9993173333; 7.53555061143e-08
-19.99872; 7.53538506083e-08
-19.9981226667; 7.53513673494e-08
-19.9975253333; 7.5349276065e-08
-19.996928; 7.53471847819e-08
-19.9963306667; 7.53451372999e-08
-19.9957333333; 7.53430460159e-08
-19.995136; 7.53409547331e-08
-19.9945386667; 7.53389072505e-08
-19.9939413333; 7.53368159668e-08
-19.993344; 7.53347246844e-08
-19.9927466667; 7.53322414244e-08
-19.9921493333; 7.53305859179e-08
-19.991552; 7.53284946357e-08
-19.9909546667; 7.53260113756e-08
-19.9903573333; 7.53239200942e-08
-19.98976; 7.53222645872e-08
-19.9891626667; 7.53197813269e-08
-19.9885653333; 7.53176900459e-08
-19.987968; 7.53160345388e-08
-19.9873706667; 7.53135512784e-08
-19.9867733333; 7.53114599976e-08
-19.986176; 7.53089767369e-08
-19.9855786667; 7.53073212299e-08
-19.9849813333; 7.53052299495e-08
-19.984384; 7.53027466886e-08
-19.9837866667; 7.53006554089e-08
-19.9831893333; 7.52989999015e-08
-19.982592; 7.52965166404e-08
-19.9819946667; 7.52944253611e-08
-19.9813973333; 7.52919420998e-08
-19.9808; 7.52902865924e-08
-19.9802026667; 7.52878033314e-08
-19.9796053333; 7.52857120519e-08
-19.979008; 7.52840565444e-08
-19.9784106667; 7.52815732833e-08
-19.9778133333; 7.52794820041e-08
-19.977216; 7.52769987427e-08
-19.9766186667; 7.52753432352e-08
-19.9760213333; 7.52732519564e-08
-19.975424; 7.52707686948e-08
-19.9748266667; 7.52686774167e-08
-19.9742293333; 7.52666299261e-08
-19.973632; 7.52645386471e-08
-19.9730346667; 7.52620553856e-08
-19.9724373333; 7.52599641073e-08
-19.97184; 7.5257916617e-08
-19.9712426667; 7.52558253378e-08
-19.9706453333; 7.52533420764e-08
-19.970048; 7.52512507979e-08
-19.9694506667; 7.52495952901e-08
-19.9688533333; 7.52471120286e-08
-19.968256; 7.52450207504e-08
-19.9676586667; 7.52425374886e-08
-19.9670613333; 7.52408819808e-08
-19.966464; 7.52383987194e-08
-19.9658666667; 7.5236307441e-08
