% Module: Plotter, ID: c0p1t10p1cfm0
% Device: DEV4674
% Time: 2026/07/29 13:25:24
% Demod 1 Sample R,  /dev4674/demods/0/sample.R
% Time (s), Amplitude (V)
-19.9999146667; 1.0401769369e-07
-19.9993173333; 1.04014710067e-07
-19.99872; 1.04012472363e-07
-19.9981226667; 1.04010042509e-07
-19.9975253333; 1.04007251097e-07
-19.996928; 1.04004821283e-07
-19.9963306667; 1.04001837753e-07
-19.9957333333; 1.03999600119e-07
-19.995136; 1.03996616624e-07
-19.9945386667; 1.03994379016e-07
-19.9939413333; 1.03991949307e-07
-19.993344; 1.03988965871e-07
-19.9927466667; 1.03986728306e-07
-19.9921493333; 1.03983744905e-07
-19.991552; 1.03981507367e-07
-19.9909546667; 1.03978524e-07
-19.9903573333; 1.0397609442e-07
-19.98976; 1.03973303157e-07
-19.9891626667; 1.03970873617e-07
-19.9885653333; 1.03967890329e-07
-19.987968; 1.03965652876e-07
-19.9873706667; 1.03963223402e-07
-19.9867733333; 1.03960432197e-07
-19.986176; 1.03958002762e-07
-19.9855786667; 1.03955019567e-07
-19.9849813333; 1.03952782184e-07
-19.984384; 1.03949799025e-07
-19.9837866667; 1.03947561668e-07
-19.9831893333; 1.03944578544e-07
-19.982592; 1.03942149238e-07
-19.9819946667; 1.03939358125e-07
-19.9813973333; 1.03936928858e-07
-19.9808; 1.03934137767e-07
-19.9802026667; 1.03931708541e-07
-19.9796053333; 1.0392872553e-07
-19.979008; 1.03926488285e-07
-19.9784106667; 1.0392350531e-07
-19.9778133333; 1.03921268091e-07
-19.977216; 1.03918285151e-07
-19.9766186667; 1.03915856053e-07
-19.9760213333; 1.03913065054e-07
-19.975424; 1.03910635996e-07
-19.9748266667; 1.03907845019e-07
-19.9742293333; 1.03905416001e-07
-19.973632; 1.03902433174e-07
-19.9730346667; 1.03900196068e-07
-19.9724373333; 1.03897213276e-07
-19.97184; 1.03894976196e-07
-19.9712426667; 1.0389199344e-07
-19.9706453333; 1.03889564551e-07
-19.970048; 1.03886773665e-07
-19.9694506667; 1.03884344817e-07
-19.9688533333; 1.03881553953e-07
-19.968256; 1.03878571287e-07
-19.9676586667; 1.03876142501e-07
-19.9670613333; 1.03873351672e-07
-19.966464; 1.03870922926e-07
-19.9658666667; 1.03868132118e-07
-19.9652693333; 1.03865703412e-07
-19.964672; 1.03862912626e-07
-19.9640746667; 1.0386048396e-07
-19.9634773333; 1.03857501444e-07
-19.96288; 1.0385526457e-07
-19.9622826667; 1.03852282089e-07
-19.9616853333; 1.03850045242e-07
-19.961088; 1.03847062797e-07
-19.9604906667; 1.03844080371e-07
-19.9598933333; 1.03841843566e-07
-19.959296; 1.03838861176e-07
-19.9586986667; 1.03836624397e-07
-19.9581013333; 1.03833642042e-07
-19.957504; 1.0383140529e-07
-19.9569066667; 1.03828422971e-07
-19.9563093333; 1.03825994577e-07
-19.955712; 1.03823203961e-07
-19.9551146667; 1.03820221697e-07
-19.9545173333; 1.03817985013e-07
-19.95392; 1.03815002785e-07
-19.9533226667; 1.03812574494e-07
-19.9527253333; 1.03809783934e-07
-19.952128; 1.03807355684e-07
-19.9515306667; 1.03804565146e-07
-19.9509333333; 1.03801583009e-07
-19.950336; 1.03799346419e-07
